,mnemonics,label
133,DT41,SONIC TRAVEL TIME
134,DT4P,SONIC TRAVEL TIME
135,DT4P_C,SONIC TRAVEL TIME
136,DT5,SONIC TRAVEL TIME
137,DTC,SONIC TRAVEL TIME
138,DTC1,SONIC TRAVEL TIME
139,DTC2,SONIC TRAVEL TIME
140,DTCA,SONIC TRAVEL TIME
141,DTCM,SONIC TRAVEL TIME
142,DTCO,SONIC TRAVEL TIME
143,DTCR,SONIC TRAVEL TIME
144,DTCX,SONIC TRAVEL TIME
145,DTL,SONIC TRAVEL TIME
146,DTLF,SONIC TRAVEL TIME
147,DTMN,SONIC TRAVEL TIME
148,DTMX,SONIC TRAVEL TIME
149,DTP,SONIC TRAVEL TIME
150,DTSC,SONIC TRAVEL TIME
151,TTC,SONIC TRAVEL TIME
152,AC1,SONIC TRAVEL TIME
153,MSTT,SONIC TRAVEL TIME
154,VEL,SONIC TRAVEL TIME
155,D4S,SHEAR SONIC
156,DT4S,SHEAR SONIC
157,DTS,SHEAR SONIC
158,DTSD,SHEAR SONIC
159,DTSF,SHEAR SONIC
160,DTSS,SHEAR SONIC
161,SHSL,SHEAR SONIC
162,TTS,SHEAR SONIC
163,ACPD,SONIC POROSITY
164,ACPL,SONIC POROSITY
165,ACPS,SONIC POROSITY
166,PORA,SONIC POROSITY
167,RPHI,SONIC POROSITY
168,SPHI,SONIC POROSITY
169,SPSS,SONIC POROSITY
170,SPOR,SONIC POROSITY
171,TPHI,SONIC POROSITY
172,CGR,GAMMA RAY
173,ECGR,GAMMA RAY
174,EHGR,GAMMA RAY
175,G,GAMMA RAY
176,GAB,GAMMA RAY
177,GAM,GAMMA RAY
178,GAM1,GAMMA RAY
179,GAPI,GAMMA RAY
180,GGCE,GAMMA RAY
181,GR,GAMMA RAY
182,GR,GAMMA RAY
183,GR_AR,GAMMA RAY
184,GR_ARC_FILT,GAMMA RAY
185,GR_STGC,GAMMA RAY
186,GR1,GAMMA RAY
187,GR-1A,GAMMA RAY
188,GR2,GAMMA RAY
189,GR-5A,GAMMA RAY
190,GRA,GAMMA RAY
191,GR-A,GAMMA RAY
192,GRC,GAMMA RAY
193,GRCO,GAMMA RAY
194,GRDA,GAMMA RAY
195,GRDE,GAMMA RAY
196,GRDI,GAMMA RAY
197,GRG,GAMMA RAY
198,GRGC,GAMMA RAY
199,GRGM,GAMMA RAY
200,GRGS,GAMMA RAY
201,GRH,GAMMA RAY
202,GRHD,GAMMA RAY
203,GRI,GAMMA RAY
204,GR-I,GAMMA RAY
205,GRLL,GAMMA RAY
206,GRML,GAMMA RAY
207,GR-ML,GAMMA RAY
208,GRN,GAMMA RAY
209,GRNC,GAMMA RAY
210,GRNP,GAMMA RAY
211,GRP,GAMMA RAY
212,GRPD,GAMMA RAY
213,GRQH,GAMMA RAY
214,GRR,GAMMA RAY
215,GR-R,GAMMA RAY
216,GRSD,GAMMA RAY
217,GRSL,GAMMA RAY
218,GRZ,GAMMA RAY
219,GRZD,GAMMA RAY
220,HCGR,GAMMA RAY
221,HGR,GAMMA RAY
222,HGR_STGC,GAMMA RAY
223,HGR-1A,GAMMA RAY
224,HGR-5A,GAMMA RAY
225,HHGR,GAMMA RAY
226,HSGR,GAMMA RAY
227,MGR,GAMMA RAY
228,P01LGR,GAMMA RAY
229,P02LGR,GAMMA RAY
230,P03LGR,GAMMA RAY
231,RGR,GAMMA RAY
232,SGR,GAMMA RAY
233,SGRD,GAMMA RAY
234,GRS,GAMMA RAY
235,HEHG,GAMMA RAY
236,GCPS,GAMMA RAY
237,GRM1,GAMMA RAY
238,K,SPECTRAL GAMMA RAY
239,POTA,SPECTRAL GAMMA RAY
240,HPOT,SPECTRAL GAMMA RAY
241,KCPS,SPECTRAL GAMMA RAY
242,TH,SPECTRAL GAMMA RAY
243,HTHO,SPECTRAL GAMMA RAY
244,THOR,SPECTRAL GAMMA RAY
245,TCPS,SPECTRAL GAMMA RAY
246,HURA,SPECTRAL GAMMA RAY
247,U,SPECTRAL GAMMA RAY
248,URAN,SPECTRAL GAMMA RAY
249,UCPS,SPECTRAL GAMMA RAY
250,UZ,SPECTRAL GAMMA RAY
251,2DPS,DENSITY POROSITY
252,APSC,DENSITY POROSITY
253,APSU,DENSITY POROSITY
254,DDPP,DENSITY POROSITY
255,DEPO,DENSITY POROSITY
256,DNPH,DENSITY POROSITY
257,DPH8,DENSITY POROSITY
258,DPHI,DENSITY POROSITY
259,DPHI_,DENSITY POROSITY
260,DPHI_SAN,DENSITY POROSITY
261,DPHI_SLDT,DENSITY POROSITY
262,DPHI_SLDT_HR,DENSITY POROSITY
263,DPHIS,DENSITY POROSITY
264,DPHS,DENSITY POROSITY
265,DPHZ,DENSITY POROSITY
266,DPHZSS,DENSITY POROSITY
267,DPO,DENSITY POROSITY
268,DPOR,DENSITY POROSITY
269,DPRS,DENSITY POROSITY
270,DPS8,DENSITY POROSITY
271,DPSS,DENSITY POROSITY
272,DPSZ,DENSITY POROSITY
273,HDPH,DENSITY POROSITY
274,HDPH_SAN,DENSITY POROSITY
275,HDPH8,DENSITY POROSITY
276,HDPHI,DENSITY POROSITY
277,HDPO,DENSITY POROSITY
278,HDPSS,DENSITY POROSITY
279,HFSC,DENSITY POROSITY
280,NDPH,DENSITY POROSITY
281,PDS,DENSITY POROSITY
282,POD,DENSITY POROSITY
283,POR,DENSITY POROSITY
284,PORS,DENSITY POROSITY
285,PORZ,DENSITY POROSITY
286,PORZ2QH,DENSITY POROSITY
287,PORZQH,DENSITY POROSITY
288,PORZS2,DENSITY POROSITY
289,PORZS2QH,DENSITY POROSITY
290,PORZSS,DENSITY POROSITY
291,PORZSS2,DENSITY POROSITY
292,PORZSSQH,DENSITY POROSITY
293,PXND,DENSITY POROSITY
294,PZCSS,DENSITY POROSITY
295,PZCSSQH,DENSITY POROSITY
296,PZCSSS,DENSITY POROSITY
297,PZSS,DENSITY POROSITY
298,PZSS2,DENSITY POROSITY
299,PZSS2QH,DENSITY POROSITY
300,PZSSQH,DENSITY POROSITY
301,PZSSS,DENSITY POROSITY
302,RPSS,DENSITY POROSITY
303,SSD,DENSITY POROSITY
304,DPH,DENSITY POROSITY
305,DPS1,DENSITY POROSITY
306,2RHB,DENSITY POROSITY
307,CODE,DENSITY POROSITY
308,DEN,DENSITY POROSITY
309,DENB,DENSITY POROSITY
310,HDEN,DENSITY POROSITY
311,HNDP,DENSITY POROSITY
312,HRHO,DENSITY POROSITY
313,HRHOB,DENSITY POROSITY
314,HROM,DENSITY POROSITY
315,LRHO,DENSITY POROSITY
316,NRHB,DENSITY POROSITY
317,NRHO,DENSITY POROSITY
318,RHO8,DENSITY POROSITY
319,RHOB,BULK DENSITY
320,RHOB_SLDT,DENSITY POROSITY
321,RHOI,DENSITY POROSITY
322,RHOM,DENSITY POROSITY
323,RHOS,DENSITY POROSITY
324,RHOZ,DENSITY POROSITY
325,ZDEN,DENSITY POROSITY
326,ZDEN2,DENSITY POROSITY
327,ZDEN2QH,DENSITY POROSITY
328,ZDENQH,DENSITY POROSITY
329,ZDENS,DENSITY POROSITY
330,ZDNC,DENSITY POROSITY
331,ZDNCQH,DENSITY POROSITY
332,ZDNCS,DENSITY POROSITY
333,RHL,DENSITY POROSITY
334,RHS3,DENSITY POROSITY
335,RHS4,DENSITY POROSITY
336,2DPD,DENSITY POROSITY
337,2DPH,DENSITY POROSITY
338,DPD1,DENSITY POROSITY
339,DPDL,DENSITY POROSITY
340,DPHI_DOL,DENSITY POROSITY
341,DPHI_LIM,DENSITY POROSITY
342,DPHZDL,DENSITY POROSITY
343,DPHZLS,DENSITY POROSITY
344,DPHID,DENSITY POROSITY
345,DPHIL,DENSITY POROSITY
346,DPHL,DENSITY POROSITY
347,DPL1,DENSITY POROSITY
348,DPL8,DENSITY POROSITY
349,DPLS,DENSITY POROSITY
350,DPLZ,DENSITY POROSITY
351,DPRD,DENSITY POROSITY
352,DPRL,DENSITY POROSITY
353,HDPDL,DENSITY POROSITY
354,HDPH_DOL,DENSITY POROSITY
355,HDPH_LIM,DENSITY POROSITY
356,HDPLS,DENSITY POROSITY
357,HFLC,DENSITY POROSITY
358,PDD,DENSITY POROSITY
359,PDL,DENSITY POROSITY
360,PORD,DENSITY POROSITY
361,PORL,DENSITY POROSITY
362,PORO,DENSITY POROSITY
363,PORZDL,DENSITY POROSITY
364,PORZDL2,DENSITY POROSITY
365,PORZDLQH,DENSITY POROSITY
366,PORZL2,DENSITY POROSITY
367,PORZL2QH,DENSITY POROSITY
368,PORZLS,DENSITY POROSITY
369,PORZLS2,DENSITY POROSITY
370,PORZLSQH,DENSITY POROSITY
371,PZCDL,DENSITY POROSITY
372,PZCDLQH,DENSITY POROSITY
373,PZCDLS,DENSITY POROSITY
374,PZCLS,DENSITY POROSITY
375,PZCLSQH,DENSITY POROSITY
376,PZCLSS,DENSITY POROSITY
377,PZDL,DENSITY POROSITY
378,PZDL2,DENSITY POROSITY
379,PZDL2QH,DENSITY POROSITY
380,PZDLQH,DENSITY POROSITY
381,PZDLS,DENSITY POROSITY
382,PZLS,DENSITY POROSITY
383,PZLS2,DENSITY POROSITY
384,PZLS2QH,DENSITY POROSITY
385,PZLSQH,DENSITY POROSITY
386,PZLSS,DENSITY POROSITY
387,RPDL,DENSITY POROSITY
388,CN,NEUTRON POROSITY
389,CNC,NEUTRON POROSITY
390,CNCS,NEUTRON POROSITY
391,CNCSGS,NEUTRON POROSITY
392,CNCSS,NEUTRON POROSITY
393,CNCSSQH,NEUTRON POROSITY
394,CNSS,NEUTRON POROSITY
395,FNPS,NEUTRON POROSITY
396,FPSC,NEUTRON POROSITY
397,HASC,NEUTRON POROSITY
398,HHNPO,NEUTRON POROSITY
399,HNPHI,NEUTRON POROSITY
400,HNPO,NEUTRON POROSITY
401,HNPO_SAN,NEUTRON POROSITY
402,HNPS,NEUTRON POROSITY
403,HNPSS,NEUTRON POROSITY
404,HTNP,NEUTRON POROSITY
405,HTNP_SAN,NEUTRON POROSITY
406,NCN,NEUTRON POROSITY
407,NCNL,NEUTRON POROSITY
408,NEU,NEUTRON POROSITY
409,NPHI,NEUTRON POROSITY
410,NPHI_SAN,NEUTRON POROSITY
411,NPHIS,NEUTRON POROSITY
412,NPHS,NEUTRON POROSITY
413,NPOR,NEUTRON POROSITY
414,NPOR_,NEUTRON POROSITY
415,NPOR_1,NEUTRON POROSITY
416,NPOR_SAN,NEUTRON POROSITY
417,NPORSS,NEUTRON POROSITY
418,NPRS,NEUTRON POROSITY
419,NPSS,NEUTRON POROSITY
420,NPSS_C,NEUTRON POROSITY
421,POS,NEUTRON POROSITY
422,PRON,NEUTRON POROSITY
423,QNP-1A,NEUTRON POROSITY
424,QNP-5A,NEUTRON POROSITY
425,RPOR,NEUTRON POROSITY
426,SNP,NEUTRON POROSITY
427,TNPH,NEUTRON POROSITY
428,TNPH_SAN,NEUTRON POROSITY
429,TNPH_SAN1,NEUTRON POROSITY
430,HNPH,NEUTRON POROSITY
431,ENPH,NEUTRON POROSITY
432,NPHI_S,NEUTRON POROSITY
433,APDC,NEUTRON POROSITY
434,APDU,NEUTRON POROSITY
435,APLC,NEUTRON POROSITY
436,APLU,NEUTRON POROSITY
437,CNCC,NEUTRON POROSITY
438,CNCD,NEUTRON POROSITY
439,CNCDL,NEUTRON POROSITY
440,CNCDLQH,NEUTRON POROSITY
441,CNCFDLQH,NEUTRON POROSITY
442,CNCF,NEUTRON POROSITY
443,CNCL,NEUTRON POROSITY
444,CNCLS,NEUTRON POROSITY
445,CNCLSQH,NEUTRON POROSITY
446,CNCQH,NEUTRON POROSITY
447,FPLC,NEUTRON POROSITY
448,FPMC,NEUTRON POROSITY
449,HADC,NEUTRON POROSITY
450,HALC,NEUTRON POROSITY
451,HHNP,NEUTRON POROSITY
452,HNPDL,NEUTRON POROSITY
453,HNPLS,NEUTRON POROSITY
454,HNPO_DOL,NEUTRON POROSITY
455,HNPO_LIM,NEUTRON POROSITY
456,HTNP_DOL,NEUTRON POROSITY
457,HTNP_LIM,NEUTRON POROSITY
458,NPDL,NEUTRON POROSITY
459,NPHI_DOL,NEUTRON POROSITY
460,NPHI_LIM,NEUTRON POROSITY
461,NPHID,NEUTRON POROSITY
462,NPHIL,NEUTRON POROSITY
463,NPHL,NEUTRON POROSITY
464,NPLS,NEUTRON POROSITY
465,NPOR_DOL,NEUTRON POROSITY
466,NPOR_LIM,NEUTRON POROSITY
467,NPORDL,NEUTRON POROSITY
468,NPORLS,NEUTRON POROSITY
469,NPRD,NEUTRON POROSITY
470,NPRL,NEUTRON POROSITY
471,POL,NEUTRON POROSITY
472,TNPH_DOL,NEUTRON POROSITY
473,TNPH_LIM,NEUTRON POROSITY
474,TPHC,NEUTRON POROSITY
475,2PEF,PHOTOELECTRIC EFFECT
476,HPEDN,PHOTOELECTRIC EFFECT
477,HPEF8,PHOTOELECTRIC EFFECT
478,PDPE,PHOTOELECTRIC EFFECT
479,PE,PHOTOELECTRIC EFFECT
480,PE2,PHOTOELECTRIC EFFECT
481,PE2QH,PHOTOELECTRIC EFFECT
482,PEDF,PHOTOELECTRIC EFFECT
483,PEDN,PHOTOELECTRIC EFFECT
484,PEF,PHOTOELECTRIC EFFECT
485,PEF_SLDT,PHOTOELECTRIC EFFECT
486,PEF_SLDT_HR,PHOTOELECTRIC EFFECT
487,PEF8,PHOTOELECTRIC EFFECT
488,PEFA,PHOTOELECTRIC EFFECT
489,PEFSA,PHOTOELECTRIC EFFECT
490,PEFZ,PHOTOELECTRIC EFFECT
491,PEQH,PHOTOELECTRIC EFFECT
492,SPEF,PHOTOELECTRIC EFFECT
493,HPEF,PHOTOELECTRIC EFFECT
494,HPEF,PHOTOELECTRIC EFFECT
495,PEFI,PHOTOELECTRIC EFFECT
496,PEFI,PHOTOELECTRIC EFFECT
497,PEFL,PHOTOELECTRIC EFFECT
498,PEFL,PHOTOELECTRIC EFFECT
499,LPE,PHOTOELECTRIC EFFECT
500,PEFS,PHOTOELECTRIC EFFECT
501,PEF_,PHOTOELECTRIC EFFECT
502,A22H,DEEP RESISTIVITY
503,A22H_,DEEP RESISTIVITY
504,A22H_UNC,DEEP RESISTIVITY
505,A28H,DEEP RESISTIVITY
506,A28H_,DEEP RESISTIVITY
507,A28H_UNC,DEEP RESISTIVITY
508,A34H,DEEP RESISTIVITY
509,A34H_,DEEP RESISTIVITY
510,A34H_UNC,DEEP RESISTIVITY
511,AF60,DEEP RESISTIVITY
512,AF90,DEEP RESISTIVITY
513,AFRT,DEEP RESISTIVITY
514,AHF60,DEEP RESISTIVITY
515,AHF90,DEEP RESISTIVITY
516,AHO60,DEEP RESISTIVITY
517,AHO90,DEEP RESISTIVITY
518,AHT60,DEEP RESISTIVITY
519,AHT90,DEEP RESISTIVITY
520,AHTRT,DEEP RESISTIVITY
521,AILD,DEEP RESISTIVITY
522,AIT,DEEP RESISTIVITY
523,AIT120,DEEP RESISTIVITY
524,AIT60,DEEP RESISTIVITY
525,AIT90,DEEP RESISTIVITY
526,AO12,DEEP RESISTIVITY
527,AO60,DEEP RESISTIVITY
528,AO90,DEEP RESISTIVITY
529,AORT,DEEP RESISTIVITY
530,ASF60,DEEP RESISTIVITY
531,ASF90,DEEP RESISTIVITY
532,ASO60,DEEP RESISTIVITY
533,ASO90,DEEP RESISTIVITY
534,AST60,DEEP RESISTIVITY
535,AST90,DEEP RESISTIVITY
536,AT60,DEEP RESISTIVITY
537,AT90,DEEP RESISTIVITY
538,ATRT,DEEP RESISTIVITY
539,DIPH,DEEP RESISTIVITY
540,DVR1,DEEP RESISTIVITY
541,DVR2,DEEP RESISTIVITY
542,DVR4,DEEP RESISTIVITY
543,FE2,DEEP RESISTIVITY
544,GRD,DEEP RESISTIVITY
545,HILD,DEEP RESISTIVITY
546,HLLD,DEEP RESISTIVITY
547,HRL4,DEEP RESISTIVITY
548,HRL5,DEEP RESISTIVITY
549,HRLD,DEEP RESISTIVITY
550,IDER,DEEP RESISTIVITY
551,IDPH,DEEP RESISTIVITY
552,IDVR,DEEP RESISTIVITY
553,IL,DEEP RESISTIVITY
554,ILD,DEEP RESISTIVITY
555,ILD2,DEEP RESISTIVITY
556,ILD4,DEEP RESISTIVITY
557,LL,DEEP RESISTIVITY
558,LL3,DEEP RESISTIVITY
559,LL7,DEEP RESISTIVITY
560,LLD,DEEP RESISTIVITY
561,LN,DEEP RESISTIVITY
562,M0R6,DEEP RESISTIVITY
563,M0R9,DEEP RESISTIVITY
564,M0RX,DEEP RESISTIVITY
565,M1R6,DEEP RESISTIVITY
566,M1R9,DEEP RESISTIVITY
567,M1RX,DEEP RESISTIVITY
568,M2R6,DEEP RESISTIVITY
569,M2R9,DEEP RESISTIVITY
570,M2RX,DEEP RESISTIVITY
571,M4R6,DEEP RESISTIVITY
572,M4R9,DEEP RESISTIVITY
573,M4RX,DEEP RESISTIVITY
574,P10H,DEEP RESISTIVITY
575,P10H_,DEEP RESISTIVITY
576,P10H_UNC,DEEP RESISTIVITY
577,P16H,DEEP RESISTIVITY
578,P16H_,DEEP RESISTIVITY
579,P16H_UNC,DEEP RESISTIVITY
580,P22H,DEEP RESISTIVITY
581,P22H_,DEEP RESISTIVITY
582,P22H_UNC,DEEP RESISTIVITY
583,P28H,DEEP RESISTIVITY
584,P28H_,DEEP RESISTIVITY
585,P28H_UNC,DEEP RESISTIVITY
586,P34H,DEEP RESISTIVITY
587,P34H_,DEEP RESISTIVITY
588,P34H_UNC,DEEP RESISTIVITY
589,RFOC,DEEP RESISTIVITY
590,RILD,DEEP RESISTIVITY
591,RIPD,DEEP RESISTIVITY
592,RLA1,DEEP RESISTIVITY
593,RLA2,DEEP RESISTIVITY
594,RLA3,DEEP RESISTIVITY
595,RLA4,DEEP RESISTIVITY
596,RLA5,DEEP RESISTIVITY
597,RLL3,DEEP RESISTIVITY
598,RLL4,DEEP RESISTIVITY
599,RLL5,DEEP RESISTIVITY
600,RT,DEEP RESISTIVITY
601,RT_HRLT,DEEP RESISTIVITY
602,VILD,DEEP RESISTIVITY
603,VP65,DEEP RESISTIVITY
604,VRSD,DEEP RESISTIVITY
605,ID40,DEEP RESISTIVITY
606,AIT6,DEEP RESISTIVITY
607,DDLL,DEEP RESISTIVITY
608,EIRD,DEEP RESISTIVITY
609,ID10,DEEP RESISTIVITY
610,ID20,DEEP RESISTIVITY
611,ID25,DEEP RESISTIVITY
612,ILD1,DEEP RESISTIVITY
613,LLG,DEEP RESISTIVITY
614,REID,DEEP RESISTIVITY
615,RLL,DEEP RESISTIVITY
616,AHF6,DEEP RESISTIVITY
617,AHF9,DEEP RESISTIVITY
618,AHO6,DEEP RESISTIVITY
619,AHO9,DEEP RESISTIVITY
620,AHOR,DEEP RESISTIVITY
621,AHT6,DEEP RESISTIVITY
622,AHT9,DEEP RESISTIVITY
623,AHTR,DEEP RESISTIVITY
624,AIT9,DEEP RESISTIVITY
625,AS60,DEEP RESISTIVITY
626,AS90,DEEP RESISTIVITY
627,ASF6,DEEP RESISTIVITY
628,ASF9,DEEP RESISTIVITY
629,ASFR,DEEP RESISTIVITY
630,ASRT,DEEP RESISTIVITY
631,AST6,DEEP RESISTIVITY
632,AST9,DEEP RESISTIVITY
633,ASTR,DEEP RESISTIVITY
634,HAT6,DEEP RESISTIVITY
635,HAT9,DEEP RESISTIVITY
636,HATR,DEEP RESISTIVITY
637,RLLD,DEEP RESISTIVITY
638,RT_H,DEEP RESISTIVITY
639,AC90,DEEP RESISTIVITY
640,AF6C,DEEP RESISTIVITY
641,AF9C,DEEP RESISTIVITY
642,AFCO,DEEP RESISTIVITY
643,AHFC,DEEP RESISTIVITY
644,AHFCO,DEEP RESISTIVITY
645,AHFCO60,DEEP RESISTIVITY
646,AHFCO90,DEEP RESISTIVITY
647,AHOC,DEEP RESISTIVITY
648,AHOCO60,DEEP RESISTIVITY
649,AHOCO90,DEEP RESISTIVITY
650,AHTC,DEEP RESISTIVITY
651,AHTCO,DEEP RESISTIVITY
652,AHTCO60,DEEP RESISTIVITY
653,AHTCO90,DEEP RESISTIVITY
654,AO6C,DEEP RESISTIVITY
655,AO9C,DEEP RESISTIVITY
656,AOCO,DEEP RESISTIVITY
657,AS9C,DEEP RESISTIVITY
658,ASCO,DEEP RESISTIVITY
659,ASTC,DEEP RESISTIVITY
660,ASFC,DEEP RESISTIVITY
661,ASFCO60,DEEP RESISTIVITY
662,ASFCO90,DEEP RESISTIVITY
663,ASOCO90,DEEP RESISTIVITY
664,ASTCO90,DEEP RESISTIVITY
665,AT6C,DEEP RESISTIVITY
666,AT9C,DEEP RESISTIVITY
667,ATCO,DEEP RESISTIVITY
668,CFOC,DEEP RESISTIVITY
669,CHTZ,DEEP RESISTIVITY
670,CIDP,DEEP RESISTIVITY
671,CIDQ,DEEP RESISTIVITY
672,CIDR,DEEP RESISTIVITY
673,CIL,DEEP RESISTIVITY
674,CILD,DEEP RESISTIVITY
675,CIPD,DEEP RESISTIVITY
676,CLLD,DEEP RESISTIVITY
677,COND,DEEP RESISTIVITY
678,DVC1,DEEP RESISTIVITY
679,DVC2,DEEP RESISTIVITY
680,DVC4,DEEP RESISTIVITY
681,FC,DEEP RESISTIVITY
682,M0CX,DEEP RESISTIVITY
683,M1CX,DEEP RESISTIVITY
684,M2CC9,DEEP RESISTIVITY
685,M2CCX,DEEP RESISTIVITY
686,M2CX,DEEP RESISTIVITY
687,M4CCX,DEEP RESISTIVITY
688,M4CX,DEEP RESISTIVITY
689,MVC2,DEEP RESISTIVITY
690,P34H_COND,DEEP RESISTIVITY
691,AF30,MEDIUM RESISTIVITY
692,AHF30,MEDIUM RESISTIVITY
693,AHO30,MEDIUM RESISTIVITY
694,AHT30,MEDIUM RESISTIVITY
695,AIT30,MEDIUM RESISTIVITY
696,AO30,MEDIUM RESISTIVITY
697,ASF30,MEDIUM RESISTIVITY
698,ASO30,MEDIUM RESISTIVITY
699,AST30,MEDIUM RESISTIVITY
700,AT30,MEDIUM RESISTIVITY
701,HILM,MEDIUM RESISTIVITY
702,HLLS,MEDIUM RESISTIVITY
703,HRL3,MEDIUM RESISTIVITY
704,ILM,MEDIUM RESISTIVITY
705,ILM2,MEDIUM RESISTIVITY
706,ILM4,MEDIUM RESISTIVITY
707,IM,MEDIUM RESISTIVITY
708,IMER,MEDIUM RESISTIVITY
709,IMPH,MEDIUM RESISTIVITY
710,IMVR,MEDIUM RESISTIVITY
711,LLS,MEDIUM RESISTIVITY
712,M0R3,MEDIUM RESISTIVITY
713,M1R3,MEDIUM RESISTIVITY
714,M2R3,MEDIUM RESISTIVITY
715,M4R3,MEDIUM RESISTIVITY
716,MVR1,MEDIUM RESISTIVITY
717,MVR2,MEDIUM RESISTIVITY
718,MVR4,MEDIUM RESISTIVITY
719,RILM,MEDIUM RESISTIVITY
720,RIPM,MEDIUM RESISTIVITY
721,RPCL,MEDIUM RESISTIVITY
722,VILM,MEDIUM RESISTIVITY
723,VP25,MEDIUM RESISTIVITY
724,AE60,MEDIUM RESISTIVITY
725,ILD25,MEDIUM RESISTIVITY
726,ILM1,MEDIUM RESISTIVITY
727,ILM25,MEDIUM RESISTIVITY
728,IM10,MEDIUM RESISTIVITY
729,IM20,MEDIUM RESISTIVITY
730,IM25,MEDIUM RESISTIVITY
731,IM40,MEDIUM RESISTIVITY
732,PIRM,MEDIUM RESISTIVITY
733,REIM,MEDIUM RESISTIVITY
734,DSLL,MEDIUM RESISTIVITY
735,AIT3,MEDIUM RESISTIVITY
736,AHF3,MEDIUM RESISTIVITY
737,AHO3,MEDIUM RESISTIVITY
738,AHT3,MEDIUM RESISTIVITY
739,AS30,MEDIUM RESISTIVITY
740,ASF3,MEDIUM RESISTIVITY
741,AST3,MEDIUM RESISTIVITY
742,HAT3,MEDIUM RESISTIVITY
743,RLLS,MEDIUM RESISTIVITY
744,CILM,MEDIUM RESISTIVITY
745,CIMQ,MEDIUM RESISTIVITY
